,tnn_mase_forecast_power,tnn_smape_forecast_power,tnn_mse_forecast_power
67,{'mase': 0.6627433826860263},{'smape': 0.134296807475627},124.12226998217038
68,{'mase': 0.6641029939947165},{'smape': 0.13486501834653097},123.77771442031796
69,{'mase': 0.6622113206150344},{'smape': 0.13447259499106554},122.71746978640557
70,{'mase': 0.6590034360719912},{'smape': 0.13382751217955274},121.45512341247444
71,{'mase': 0.6517822744804087},{'smape': 0.1323858935911134},119.81534686410315
72,{'mase': 0.6505385989217441},{'smape': 0.13225874771064144},118.9298618090522
73,{'mase': 0.6589559011719021},{'smape': 0.13441600737377468},121.16451749660771
74,{'mase': 0.6611273515947461},{'smape': 0.13497244991263452},121.12773545873227
75,{'mase': 0.6659067630581015},{'smape': 0.1360968728212323},121.95452981319099
76,{'mase': 0.6756266045336837},{'smape': 0.13848224586835173},124.92519056986089
77,{'mase': 0.67256721616281},{'smape': 0.13789196748998134},123.75280894309238
78,{'mase': 0.681515897425851},{'smape': 0.1403169574866801},126.40960200592035
79,{'mase': 0.6824415497450961},{'smape': 0.1407461982549323},126.08055673540557
80,{'mase': 0.6786965472646034},{'smape': 0.14009241907743078},124.83506381957739
81,{'mase': 0.6789707822917825},{'smape': 0.1404946682673017},124.36386146702355
82,{'mase': 0.6808495518779938},{'smape': 0.1414379693662329},124.33790148560942
83,{'mase': 0.6760933996531511},{'smape': 0.1406133929480675},123.02287974541602
84,{'mase': 0.6816319365293129},{'smape': 0.14290640955756004},124.28845659388182
85,{'mase': 0.6820160654204585},{'smape': 0.14373939894178783},123.884443883246
86,{'mase': 0.6826533318137796},{'smape': 0.14476063059371622},123.55641118801262
87,{'mase': 0.6806645695766196},{'smape': 0.14493484551600472},122.66576457677824
88,{'mase': 0.67568875935893},{'smape': 0.1441439537713541},121.39890753638798
89,{'mase': 0.6752938570893021},{'smape': 0.14497351161051766},120.84828912586464
90,{'mase': 0.6710263189307707},{'smape': 0.1444576698869156},119.67891802127032
91,{'mase': 0.6648449563113159},{'smape': 0.14327202269242784},118.39801911328587
92,{'mase': 0.6609072959789082},{'smape': 0.14287745857047285},117.29305253060683
93,{'mase': 0.6573419657319624},{'smape': 0.1426354409868489},116.24318351774644
94,{'mase': 0.6562428465704487},{'smape': 0.143440613991749},115.58377442536755
95,{'mase': 0.6535694584372314},{'smape': 0.14354339509036299},114.67138520733344
96,{'mase': 0.6532610305423476},{'smape': 0.1440967104557382},114.19217918456673
97,{'mase': 0.6560994417993543},{'smape': 0.14653863951091178},114.57896708427695
98,{'mase': 0.6568262758548375},{'smape': 0.14786501888778203},114.36028963461798
99,{'mase': 0.6584082743095309},{'smape': 0.14948999886612835},114.38126565842582
100,{'mase': 0.6647253183271208},{'smape': 0.15373086338947894},116.16622122127085
101,{'mase': 0.6721687016092366},{'smape': 0.15862954442842664},118.5124373896545
102,{'mase': 0.6823880002826824},{'smape': 0.1646907666436692},122.42525387527093
103,{'mase': 0.6853902344233375},{'smape': 0.1669933762440433},122.91574609219575
104,{'mase': 0.6837886015751516},{'smape': 0.16740763426806354},122.1917881767766
105,{'mase': 0.6776168637458975},{'smape': 0.16592602679867288},121.0404830369844
106,{'mase': 0.6799500103241825},{'smape': 0.16751184775052352},121.31806080525617
107,{'mase': 0.6784572873920587},{'smape': 0.16764843671547947},120.63155779847796
108,{'mase': 0.6760383686267805},{'smape': 0.16733364825437677},119.80158288068293
109,{'mase': 0.6807394120842829},{'smape': 0.16988880168308854},120.9814303626553
110,{'mase': 0.6865806565967332},{'smape': 0.1731737260999405},122.68167111243869
111,{'mase': 0.6892562072280677},{'smape': 0.17505383313647993},123.1088613488903
112,{'mase': 0.6857966446201869},{'smape': 0.17435005879777948},122.15748161178014
113,{'mase': 0.6816315318477352},{'smape': 0.1734000073310509},121.15437553519138
114,{'mase': 0.6852957176922095},{'smape': 0.17554129075185837},121.95562573659156
